fid,TreeID,Family,Genus,species,Xutm,Yutm,arbre_plus_proche,sondage_N,depth_sup,Family_2,Genus_2,species_2,Xutm_2,Yutm_2
"154","143633",Chrysobalanaceae,Leptobalanus,sprucei,285483.826719725,581574.71105,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"155","143634",Myristicaceae,Iryanthera,hostmannii,285483.960807625,581574.96015,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"156","144203",Lecythidaceae,Lecythis,persistens,285485.12468,581573.528,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"157","144204",Myristicaceae,Iryanthera,hostmannii,285486.093679325,581574.13005,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"158","144205",Chrysobalanaceae,Hymenopus,heteromorphus,285486.1317847,581574.3506,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"159","144206",Sapindaceae,Talisia,macrophylla,285485.3716376,581575.4844,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"160","144207",Fabaceae,Swartzia,gracilifolia,285486.456407875,581575.70245,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"161","144208",Melastomataceae,Mouriri,huberi,285487.629416525,581574.58685,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"162","144209",Melastomataceae,Mouriri,sagotiana,285487.58214,581574.04975,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"163","144210",Clusiaceae,Symphonia,"sp,1",285487.553201875,581574.14575,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"164","144211",Vochysiaceae,Qualea,rosea,285488.82850195,581575.46655,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"165","144247",Myristicaceae,Iryanthera,sagotiana,285487.4727072,581576.8416,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"166","144248",Chrysobalanaceae,Couepia,guianensis,285487.49105295,581577.4747,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"167","144250",Lauraceae,Ocotea,debilis,285488.2772895,581578.3362,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"168","144251",Peraceae,Pogonophora,schomburgkiana,285487.52774985,581578.7409,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"169","144252",Clusiaceae,Symphonia,"sp,1",285488.112846,581579.22875,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"170","144253",Myristicaceae,Iryanthera,hostmannii,285488.477035,581579.7555,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"171","144256",Chrysobalanaceae,Licania,canescens,285486.834666875,581579.99925,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"172","144257",Sapotaceae,Manilkara,bidentata,285486.4231946,581578.9354,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"173","144258",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",285485.9813704,581579.0132,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"174","144258",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",285485.9813704,581579.0132,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"175","144259",Peraceae,Pogonophora,schomburgkiana,285485.7421145,581578.419,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"176","144260",Myristicaceae,Iryanthera,hostmannii,285485.32780345,581579.44645,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"177","144261",Euphorbiaceae,Conceveiba,guianensis,285484.8083304,581580.1288,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"178","144262",Myristicaceae,Iryanthera,sagotiana,285484.835847675,581581.07845,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"179","144263",Clusiaceae,Tovomita,"sp,2 CAY-ATDN",285486.018064,581580.2794,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"180","144266",Chrysobalanaceae,Licania,alba,285486.78456125,581581.55345,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"181","144268",Sapindaceae,Cupania,rubiginosa,285485.631285,581582.2565,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"182","144269",Fabaceae,Tachigali,paraensis,285485.515534,581582.6405,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"183","144270",Burseraceae,Protium,sagotianum,285484.546461925,581582.03845,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"184","144271",Fabaceae,Inga,sarmentosa,285483.720666975,581582.00205,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"185","144272",Meliaceae,Guarea,pubescens,285483.681134225,581582.82715,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"186","144302",Annonaceae,Guatteria,guianensis,285489.91045175,581577.7759,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"187","144304",Sapotaceae,Pouteria,jariensis,285489.5921596,581578.8319,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"188","144305",Melastomataceae,Mouriri,crassifolia,285489.5724035,581579.24445,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"189","144306",Rubiaceae,Palicourea,quadrifolia,285488.528544675,581577.15565,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"190","144307",Rubiaceae,Palicourea,quadrifolia,285488.70712425,581580.03315,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"191","144308",Annonaceae,Guatteria,punctata,285489.281656,581581.2501,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"192","144309",Sapotaceae,Chrysophyllum,sanguinolentum,285488.4664565,581580.4846,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"193","144310",Moraceae,Brosimum,utile,285488.81089705,581581.4239,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"194","144311",Peraceae,Pogonophora,schomburgkiana,285488.0705317,581582.14515,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"195","144312",Melastomataceae,Mouriri,huberi,285488.1770955,581581.4446,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"196","144314",Lecythidaceae,Eschweilera,coriacea,285485.6842375,581578.611,"144259",14.7,"93",Peraceae,,schomburgkiana,285485.7421145,581578.419
"197","153148",Lecythidaceae,Eschweilera,coriacea,285588.17210725,581576.15015,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"198","153184",Lecythidaceae,Lecythis,persistens,285589.2292265,581574.3729,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"199","153184",Lecythidaceae,Lecythis,persistens,285589.2292265,581574.3729,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"200","153614",Chrysobalanaceae,Couepia,guianensis,285592.552652,581570.969,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"201","153615",Clusiaceae,Tovomita,obovata,285592.619747175,581571.09355,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"202","153616",Clusiaceae,Tovomita,"sp,11 CAY-ATDN",285593.2048692,581571.5814,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"203","153617",Chrysobalanaceae,Hymenopus,latistipulus,285592.74381375,581572.07175,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"204","153618",Metteniusaceae,Emmotum,fagifolium,285591.9948762,581572.47645,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"205","153619",Vochysiaceae,Qualea,rosea,285591.850558325,581572.95645,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"206","153620",Rubiaceae,Faramea,paniculata,285590.5554792,581572.0482,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"207","153621",Rubiaceae,Duroia,genipoides,285590.5359805,581572.46075,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"208","153622",Rubiaceae,Duroia,genipoides,285591.2841656,581573.1017,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"209","153623",Chrysobalanaceae,Couepia,guianensis,285590.438496,581574.5235,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"210","153624",Sapindaceae,Talisia,sylvatica,285591.24442325,581574.97245,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"211","153625",Clusiaceae,Garcinia,madruno,285590.466604575,581575.47315,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"212","153626",Chrysobalanaceae,Couepia,guianensis,285590.408876525,581575.66515,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"213","153627",Ochnaceae,Lacunaria,jenmanii,285593.2033736,581573.6727,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"214","153628",Sapindaceae,Talisia,megaphylla,285592.2321626,581576.2076,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"215","153629",Sapotaceae,Pouteria,singularis,285592.905375525,581574.31615,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"216","153632",Moraceae,Naucleopsis,guianensis,285589.97742435,581575.01385,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"217","153633",Rubiaceae,Duroia,eriopila,285592.5410225,581573.7894,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
"218","153634",Sapotaceae,Pouteria,bangii,285592.9912222,581575.0738,"153634",15.6,"84",Sapotaceae,,bangii,285592.9912222,581575.0738
